,id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG,ScaledIsGoal,IsHome,WinProb,LoseProb,rnd1,rnd2,ScoreDiff,ChasingEq,ChasingWinner,WastedXG,Urgency,WinningUnderdog,LosingFavorite
4,310532,40,0.2792029976844787,h,2019,Everton,Watford,Richarlison,2019-08-17 15:00:00,0,0,0,0,False,1,0,0.0148838004097342,0.0,1,0.5524861878453039,0.2183406113537118,False,-1,1,False,False,0.0,-1.0,1.0,0.0
7,316291,4,0.3479639887809753,h,2019,Everton,Wolverhampton Wanderers,Richarlison,2019-09-01 14:00:00,0,0,1,0,True,0,0,0.0,2.873860606964839,1,0.48780487804878053,0.24630541871921185,False,-1,0,False,True,0.0,-0.22413793103448276,0.0,0.0
16,320401,42,0.3157060146331787,h,2019,Everton,Sheffield United,Richarlison,2019-09-21 14:00:00,0,0,0,0,False,0,0,0.1342072002589702,0.0,1,0.5714285714285714,0.19083969465648853,False,-1,0,False,True,0.0,0.15384615384615374,0.0,0.0
31,330681,74,0.3402580022811889,a,2019,Southampton,Everton,Richarlison,2019-11-09 15:00:00,0,0,0,0,True,1,1,0.0951795019209384,2.938946309258587,0,0.4310344827586207,0.31446540880503143,False,-1,0,False,True,0.0,0.9565217391304348,0.0,0.0
34,334466,22,0.3644919991493225,a,2019,Leicester,Everton,Richarlison,2019-12-01 16:30:00,0,0,0,0,True,0,0,0.0,2.7435444463359184,0,0.17211703958691912,0.625,False,-1,0,False,True,0.0,-0.08163265306122447,0.0,0.0
36,334479,62,0.3632920086383819,a,2019,Leicester,Everton,Richarlison,2019-12-01 16:30:00,1,0,0,0,False,1,0,0.4210404977202415,0.0,0,0.17211703958691912,0.625,True,-1,1,False,False,0.0,-1.0,1.0,0.0
38,335161,47,0.2666229903697967,a,2019,Liverpool,Everton,Richarlison,2019-12-04 20:15:00,0,0,0,0,True,1,4,0.0646110996603965,3.750614298538304,0,0.17574692442882248,0.6172839506172839,False,-1,-3,False,False,0.0,-1.0,0.0,3.0
40,335461,4,0.5937560200691223,h,2019,Everton,Chelsea,Richarlison,2019-12-07 12:30:00,0,0,0,0,True,0,0,0.0,1.6841934501709719,1,0.3058103975535168,0.4672897196261682,False,2,0,False,True,0.0,-0.22413793103448276,0.0,0.0
49,351583,70,0.6314020156860352,a,2019,Manchester City,Everton,Richarlison,2020-01-01 17:30:00,0,0,0,0,True,0,2,0.0,1.5837770155254782,0,0.10940919037199125,0.7633587786259541,False,-1,-2,False,False,0.0,-1.0,0.0,2.0
65,353348,46,0.4222210049629211,h,2019,Everton,Manchester United,Richarlison,2020-03-01 14:00:00,0,0,0,0,False,1,1,0.0,0.0,1,0.3496503496503497,0.3968253968253968,False,2,0,False,True,0.0,0.21621621621621623,0.0,0.0
66,353351,56,0.4639450013637543,h,2019,Everton,Manchester United,Richarlison,2020-03-01 14:00:00,0,0,0,0,False,1,1,0.4222210049629211,0.0,1,0.3496503496503497,0.3968253968253968,True,-1,0,False,True,0.0,0.40625,0.0,0.0
