,id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG,ScaledIsGoal,IsHome,IsPenalty,WinProb,LoseProb,rnd1,rnd2,ScoreDiff,ChasingEq,ChasingWinner,WastedXG,Urgency,WinningUnderdog,LosingFavorite
0,232922,16,0.5408759713172913,a,2018,Wolverhampton Wanderers,Everton,Richarlison,2018-08-11 19:30:00,0,0,1,0,True,0,0,0.0,1.848852700119997,0,False,0.30959752321981426,0.4132231404958678,True,2,0,False,True,0.0,-0.13461538461538458,0.0,0.0
2,233068,30,0.4939660131931305,h,2018,Everton,Southampton,Richarlison,2018-08-18 17:00:00,0,0,0,0,True,1,0,0.0,2.024430777202116,1,False,0.5494505494505494,0.20576131687242796,False,-1,1,False,False,0.0,-1.0,1.0,0.0
14,249039,6,0.5092570185661316,a,2018,Leicester,Everton,Richarlison,2018-10-06 14:00:00,0,0,0,0,True,0,0,0.0,1.9636450034907884,0,False,0.2824858757062147,0.4484304932735426,False,-1,0,False,True,0.0,-0.21052631578947367,0.0,0.0
21,249845,76,0.5996720194816589,h,2018,Everton,Brighton,Richarlison,2018-11-03 15:00:00,1,0,0,0,True,2,1,0.2393573932349681,1.6675782219493487,1,False,0.641025641025641,0.14430014430014432,True,-1,1,False,False,0.0,-1.0,1.0,0.0
23,250347,39,0.3559730052947998,h,2018,Everton,Cardiff,Richarlison,2018-11-24 15:00:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.684931506849315,0.12269938650306748,False,-1,0,False,True,0.0,0.11111111111111116,0.0,0.0
30,250941,37,0.4797360002994537,h,2018,Everton,Newcastle United,Richarlison,2018-12-05 19:45:00,0,0,0,0,True,0,1,0.3131931014358997,2.0844797959206622,1,False,0.6896551724137931,0.12254901960784313,True,2,-1,True,False,0.0,0.0843373493975903,0.0,1.0
32,251218,14,0.4565730094909668,h,2018,Everton,Watford,Richarlison,2018-12-10 20:00:00,0,0,0,0,True,0,0,0.0,2.1902302133779217,1,False,0.5988023952095809,0.17953321364452424,False,-1,0,False,True,0.0,-0.15094339622641506,0.0,0.0
34,251242,14,0.3456839919090271,a,2018,Manchester City,Everton,Richarlison,2018-12-15 12:30:00,0,0,0,0,False,0,0,0.0,0.0,0,False,0.0794912559618442,0.819672131147541,False,-1,0,False,True,0.0,-0.15094339622641506,0.0,0.0
49,274544,48,0.4905039966106415,h,2018,Everton,Bournemouth,Richarlison,2019-01-13 14:15:00,0,0,0,0,False,0,0,0.02297930046916,0.0,1,False,0.5847953216374269,0.19920318725099603,False,-1,0,False,True,0.0,0.25,0.0,0.0
52,274933,2,0.4609780013561249,a,2018,Huddersfield,Everton,Richarlison,2019-01-29 19:45:00,0,0,0,0,True,0,0,0.0,2.1693009147034283,0,False,0.4484304932735426,0.27322404371584696,False,-1,0,False,True,0.0,-0.23728813559322037,0.0,0.0
53,274932,2,0.3853799998760223,a,2018,Huddersfield,Everton,Richarlison,2019-01-29 19:45:00,1,0,0,0,False,0,0,0.4609780013561249,0.0,0,False,0.4484304932735426,0.27322404371584696,False,-1,0,False,True,0.0,-0.23728813559322037,0.0,0.0
59,284543,31,0.6319839954376221,a,2018,Newcastle United,Everton,Richarlison,2019-03-09 15:00:00,0,0,0,0,True,1,0,0.0369145981967449,1.5823185511328377,0,False,0.3472222222222222,0.3676470588235294,False,-1,1,False,False,0.0,-1.0,1.0,0.0
60,286893,48,0.6313310265541077,h,2018,Everton,Chelsea,Richarlison,2019-03-17 16:30:00,0,0,0,0,True,0,0,0.0,1.5839551011109636,1,False,0.2178649237472767,0.5464480874316939,True,2,0,False,True,0.0,0.25,0.0,0.0
65,287730,82,0.3254669904708862,a,2018,West Ham,Everton,Richarlison,2019-03-30 17:30:00,0,0,0,0,False,2,0,0.0939100012183189,0.0,0,False,0.35842293906810035,0.3787878787878788,False,2,2,False,False,0.0,-1.0,2.0,0.0
68,292602,73,0.3091929852962494,h,2018,Everton,Arsenal,Richarlison,2019-04-07 14:05:00,0,0,0,0,False,1,0,0.0780625995248556,0.0,1,False,0.3460207612456747,0.40322580645161293,False,-1,1,False,False,0.0,-1.0,1.0,0.0
69,295820,10,0.4509310126304626,h,2018,Everton,Manchester United,Richarlison,2019-04-21 13:30:00,0,0,1,0,False,0,0,0.0,0.0,1,False,0.3058103975535168,0.4464285714285714,True,-1,0,False,True,0.0,-0.18181818181818177,0.0,0.0
86,275533,65,0.3667539954185486,h,2018,Huddersfield,Arsenal,Adama Diakhaby,2019-02-09 15:00:00,0,0,0,0,False,0,2,0.1092410013079643,0.0,1,False,0.17953321364452424,0.6024096385542169,False,-1,-2,False,False,0.0,-1.0,0.0,2.0
89,275540,92,0.2616719901561737,h,2018,Huddersfield,Arsenal,Adama Diakhaby,2019-02-09 15:00:00,0,0,0,0,False,0,2,0.5277097960934043,0.0,1,False,0.17953321364452424,0.6024096385542169,False,-1,-2,False,False,0.0,-1.0,0.0,2.0
103,275762,11,0.315540999174118,h,2018,Newcastle United,Huddersfield,Miguel Almirón,2019-02-23 15:00:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.5291005291005292,0.2079002079002079,False,-1,0,False,True,0.0,-0.17431192660550454,0.0,0.0
108,275947,51,0.4064599871635437,h,2018,Newcastle United,Burnley,Miguel Almirón,2019-02-26 20:00:00,0,0,0,0,False,2,0,0.0191651992499828,0.0,1,False,0.4672897196261682,0.2610966057441253,True,-1,2,False,False,0.0,-1.0,2.0,0.0
161,250291,24,0.3509959876537323,a,2018,Manchester United,Crystal Palace,Patrick van Aanholt,2018-11-24 15:00:00,0,0,0,0,False,0,0,0.0,0.0,0,False,0.12547051442910917,0.6896551724137931,False,-1,0,False,True,0.0,-0.0625,0.0,0.0
187,287598,87,0.2472510039806366,h,2018,Crystal Palace,Huddersfield,Patrick van Aanholt,2019-03-30 15:00:00,0,0,0,0,True,1,0,0.0268719997256994,4.044472960272852,1,False,0.6896551724137931,0.12062726176115804,False,-1,1,False,False,0.0,-1.0,1.0,0.0
191,301286,64,0.506089985370636,h,2018,Crystal Palace,Bournemouth,Patrick van Aanholt,2019-05-12 14:00:00,0,0,0,0,True,2,2,0.0,1.9759331915403306,1,False,0.5681818181818182,0.23696682464454977,False,-1,0,False,True,0.0,0.6071428571428572,0.0,0.0
195,249123,50,0.4654630124568939,h,2018,Manchester United,Newcastle United,Nemanja Matic,2018-10-06 16:30:00,0,0,0,0,False,0,2,0.0781586021184921,0.0,1,False,0.7246376811594204,0.10427528675703858,True,2,-2,False,False,0.0,-1.0,0.0,2.0
199,251776,27,0.7647690176963806,h,2018,Manchester United,Huddersfield,Nemanja Matic,2018-12-26 15:00:00,0,0,0,0,True,0,0,0.0,1.307584351432249,1,False,0.78125,0.08216926869350863,False,-1,0,False,True,0.0,-0.032258064516129004,0.0,0.0
214,274379,44,0.2019110023975372,h,2018,West Ham,Arsenal,Declan Rice,2019-01-12 12:30:00,0,0,1,0,False,0,0,0.0,0.0,1,False,0.2840909090909091,0.49504950495049505,False,-1,0,False,True,0.0,0.18421052631578938,0.0,0.0
228,234233,54,0.2861180007457733,a,2018,West Ham,Chelsea,David Luiz,2018-09-23 12:30:00,0,0,0,0,False,0,0,0.0,0.0,0,False,0.6622516556291391,0.15527950310559005,True,-1,0,False,True,0.0,0.36363636363636354,0.0,0.0
232,249232,65,0.1806100010871887,h,2018,Chelsea,Manchester United,David Luiz,2018-10-20 11:30:00,0,0,0,0,False,1,1,0.0952700972557067,0.0,1,False,0.5681818181818182,0.2061855670103093,False,-1,0,False,True,0.0,0.6363636363636365,0.0,0.0
236,249968,62,0.1844020038843155,h,2018,Chelsea,Crystal Palace,David Luiz,2018-11-04 16:00:00,0,0,0,0,False,1,1,0.0577762015163898,0.0,1,False,0.7518796992481203,0.1023541453428864,False,-1,0,False,True,0.0,0.5517241379310345,0.0,0.0
241,251624,16,0.5206940174102783,h,2018,Chelsea,Leicester,David Luiz,2018-12-22 15:00:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.7518796992481203,0.09624639076034648,False,-1,0,False,True,0.0,-0.13461538461538458,0.0,0.0
249,275213,33,0.2414010018110275,h,2018,Chelsea,Huddersfield,David Luiz,2019-02-02 15:00:00,0,0,1,0,False,1,0,0.0562829002737998,0.0,1,False,0.819672131147541,0.06920415224913495,True,-1,1,False,False,0.0,-1.0,1.0,0.0
258,299843,50,0.225844994187355,h,2018,Chelsea,Watford,David Luiz,2019-05-05 13:00:00,0,0,0,0,True,1,0,0.0,4.427815651164828,1,False,0.7692307692307692,0.0945179584120983,True,-1,1,False,False,0.0,-1.0,1.0,0.0
281,234057,38,0.5597509741783142,h,2018,Burnley,Bournemouth,Matej Vydra,2018-09-22 14:00:00,0,0,0,0,True,0,0,0.0,1.7865087264349095,1,False,0.31545741324921134,0.42194092827004215,False,-1,0,False,True,0.0,0.09756097560975618,0.0,0.0
