,id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,ScaledIsGoal,IsHome,HomeOdds,AwayOdds
4083,312514,5,0.0767865031957626,h,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,0,0,0.0,True,2.0,2.0
4084,312515,6,0.3113870024681091,h,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,0,0,0.0,True,2.0,2.0
5893,312517,35,0.0728707984089851,a,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,1,0,False,0,0,0.0,False,2.0,2.0
4085,312518,36,0.0461522005498409,h,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,0,0,0.0,True,2.0,2.0
6730,312519,45,0.0458398982882499,a,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,0,0,0.0,False,2.0,2.0
4582,312525,60,0.0734722018241882,a,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,1,0,0.0,False,2.0,2.0
5894,312526,63,0.0691206976771354,a,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,1,0,False,1,0,0.0,False,2.0,2.0
2690,312528,64,0.0980881005525589,a,2019,Brighton,Southampton,2019-08-24 15:00:00,1,0,0,0,False,1,0,0.0,False,2.0,2.0
4583,312530,65,0.5847690105438232,a,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,1,0,0.0,False,2.0,2.0
7824,312534,85,0.3416169881820678,h,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,0,1,0.0,True,2.0,2.0
3458,312535,90,0.3061189949512481,a,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,False,1,0,0.0,False,2.0,2.0
5895,312536,90,0.707040011882782,a,2019,Brighton,Southampton,2019-08-24 15:00:00,0,0,0,0,True,1,0,1.4143471135913408,False,2.0,2.0
